,0b.female,1.female,0b.htn,1.htn,0b.smoke,1.smoke,0b.not_college_bin,1.not_college_bin,0b.insurance_pre,1.insurance_pre,0b.adi_bin,1.adi_bin,0b.race_howell,1.race_howell,2.race_howell,3.race_howell,age,bmi,sbp,dbp,egfr_pre,income
0b.female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.female,0,0.017192698,0,0.001730036,0,0.001143711,0,-0.001175762,0,-0.001490595,0,-0.000750061,0,-0.000604321,-0.000818562,-0.000316631,-0.000547947,0.001108934,0.000312708,0.001571012,-0.000185907,-0.000547947
0b.htn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.htn,0,0.001730036,0,0.052625979,0,0.001878007,0,0.00058456,0,-0.001206462,0,-0.002618918,0,-0.000594546,0.001465578,0.002291624,-0.001771745,-0.000701996,-0.000675302,-0.001157782,-0.000185909,-0.001771745
0b.smoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.smoke,0,0.001143711,0,0.001878007,0,0.013763932,0,-0.001975988,0,0.000503716,0,0.000473461,0,0.001570906,0.001251334,0.00088075,-0.000349421,-8.58811E-05,0.000410031,-0.000315888,-0.000292449,-0.000349421
0b.not_college_bin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.not_college_bin,0,-0.001175762,0,0.00058456,0,-0.001975988,0,0.013860696,0,0.001303096,0,-0.001708158,0,-0.002794789,0.000567933,0.001056751,-0.000271768,-0.000698653,0.000229183,-0.000693408,-0.000357516,-0.000271768
0b.insurance_pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.insurance_pre,0,-0.001490595,0,-0.001206462,0,0.000503716,0,0.001303096,0,0.081750387,0,0.000948656,0,-0.000428785,0.000906285,-0.001186715,-0.000717503,-7.19591E-05,-1.68406E-05,-2.76115E-05,0.000539938,-0.000717503
0b.adi_bin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.adi_bin,0,-0.000750061,0,-0.002618918,0,0.000473461,0,-0.001708158,0,0.000948656,0,0.023280105,0,0.001758226,-0.000158674,0.000588607,-0.000129713,-0.000912869,0.000397425,-0.000606164,-0.00033886,-0.000129713
0b.race_howell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.race_howell,0,-0.000604321,0,-0.000594546,0,0.001570906,0,-0.002794789,0,-0.000428785,0,0.001758226,0,0.117305231,0.004683478,0.004834638,0.00179168,-0.000294964,-0.000873292,0.001565931,0.000207762,0.00179168
2.race_howell,0,-0.000818562,0,0.001465578,0,0.001251334,0,0.000567933,0,0.000906285,0,-0.000158674,0,0.004683478,0.035203507,0.004505261,0.002481186,-0.001505175,0.000184107,-0.000513807,0.000648614,0.002481186
3.race_howell,0,-0.000316631,0,0.002291624,0,0.00088075,0,0.001056751,0,-0.001186715,0,0.000588607,0,0.004834638,0.004505261,0.205691328,0.001483469,0.000247841,-0.000823054,0.000101608,-0.000429401,0.001483469
age,0,-0.000547947,0,-0.001771745,0,-0.000349421,0,-0.000271768,0,-0.000717503,0,-0.000129713,0,0.00179168,0.002481186,0.001483469,0.003479866,2.97634E-05,-0.000525096,0.000219679,0.000925589,-3.72637E-06
bmi,0,0.001108934,0,-0.000701996,0,-8.58811E-05,0,-0.000698653,0,-7.19591E-05,0,-0.000912869,0,-0.000294964,-0.001505175,0.000247841,2.97634E-05,0.00380806,-0.000236445,4.95897E-05,2.24217E-06,-3.96092E-05
sbp,0,0.000312708,0,-0.000675302,0,0.000410031,0,0.000229183,0,-1.68406E-05,0,0.000397425,0,-0.000873292,0.000184107,-0.000823054,-0.000525096,-0.000236445,0.002327929,-0.002000699,-6.97536E-05,1.36587E-05
dbp,0,0.001571012,0,-0.001157782,0,-0.000315888,0,-0.000693408,0,-2.76115E-05,0,-0.000606164,0,0.001565931,-0.000513807,0.000101608,0.000219679,4.95897E-05,-0.002000699,0.005614888,0.000178738,-6.22909E-05
egfr_pre,0,-0.000185907,0,-0.000185909,0,-0.000292449,0,-0.000357516,0,0.000539938,0,-0.00033886,0,0.000207762,0.000648614,-0.000429401,0.000925589,2.24217E-06,-6.97536E-05,0.000178738,0.001412371,-4.64986E-06
income,0,-5.44025E-05,0,-0.000176771,0,8.25827E-05,0,2.7338E-05,0,-0.000171439,0,0.001928526,0,-6.72855E-06,0.000178173,-0.000118874,-3.72637E-06,-3.96092E-05,1.36587E-05,-6.22909E-05,-4.64986E-06,0.00036384
